Score, Time, Color
100,20220516172956,RGBA(0.628, 0.309, 0.246, 1.000)
200,20220516172959,RGBA(0.499, 0.485, 0.150, 1.000)
300,20220516172959,RGBA(0.841, 0.936, 0.924, 1.000)
400,20220516173000,RGBA(0.445, 0.083, 0.324, 1.000)
500,20220516173002,RGBA(0.150, 0.104, 0.159, 1.000)
600,20220516173004,RGBA(0.016, 0.017, 0.027, 1.000)
700,20220516173007,RGBA(0.225, 0.564, 0.541, 1.000)
800,20220516173009,RGBA(0.825, 0.407, 0.511, 1.000)
900,20220516173010,RGBA(0.009, 0.011, 0.016, 1.000)
1000,20220516173011,RGBA(0.821, 0.653, 0.191, 1.000)
1100,20220516173012,RGBA(0.638, 0.279, 0.874, 1.000)
